,SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE.1,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
9963,1,-122.3394165,47.55847119,12536,26017,26017,1775339,Matched,Block,,EAST MARGINAL WAY S BETWEEN XW ALASKA AND S HUDSON ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2004/07/23 00:00:00+00,7/23/2004 3:20:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,4205015.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
9964,2,-122.34564509999998,47.6096113,12537,26991,26991,1321224,Matched,Block,,ALASKAN WAY BETWEEN VIRGINIA ST AND LENORA ST,,,2,Injury Collision,Cycles,3,0,1,1,2004/09/22 00:00:00+00,9/22/2004 5:51:00 AM,Mid-Block (not related to intersection),56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,0,Clear,Dry,Dawn,,4266044.0,,45,Vehicle - Pedalcyclist,0,0,N
9965,1,-122.3172804,47.59076389,12539,25652,25652,1792993,Matched,Block,,12TH AVE S BETWEEN S JUDKINS ST AND S ATLANTIC ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/09/20 00:00:00+00,9/20/2004 10:45:00 AM,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4264023.0,,20,One car leaving parked position,0,0,N
9966,1,-122.3905749,47.65253715,12541,26074,26074,1470973,Matched,Block,,27TH PL W BETWEEN 26TH AVE W AND W MANOR PL,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/04/01 00:00:00+00,4/1/2004,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Dark - Street Lights On,,4092036.0,,32,One parked--one moving,0,0,N
9967,1,-122.3445014,47.68658255,12542,25560,25560,1773407,Matched,Block,,AURORA AVE N BETWEEN N 79TH ST AND N 80TH ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2004/03/15 00:00:00+00,3/15/2004 3:00:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Overcast,Dry,Daylight,,4075007.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
9968,2,-122.3660347,47.69786483,12543,26755,26755,1080257,Matched,Intersection,37149.0,8TH AVE NW AND NW 95TH ST,,,2,Injury Collision,Angles,3,0,0,2,2004/07/15 00:00:00+00,7/15/2004 3:34:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4197030.0,,10,Entering at angle,0,0,N
9969,1,-122.386804,47.56021698,12544,25263,25263,1216401,Matched,Block,,CALIFORNIA AVE SW BETWEEN SW ALASKA ST AND ERSKINE WAY SW,,,1,Property Damage Only Collision,Other,2,0,0,2,2004/07/07 00:00:00+00,7/7/2004,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4189024.0,,23,From same direction - all others,0,0,N
9970,1,-122.3440706,47.65376806,12545,25636,25636,1794036,Matched,Intersection,26865.0,BRIDGE WAY N AND WOODLAND PARK AVE N,,,1,Property Damage Only Collision,Angles,3,0,0,2,2004/07/22 00:00:00+00,7/22/2004 6:21:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4204011.0,,10,Entering at angle,0,0,N
9971,2,-122.316961,47.68310483,12546,24898,24898,1794114,Matched,Intersection,24509.0,LAKE CITY WAY NE AND NE 75TH ST,,,2,Injury Collision,Left Turn,2,0,0,2,2004/10/22 00:00:00+00,10/22/2004 11:20:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,,4296027.0,,28,From opposite direction - one left turn - one straight,0,0,N
9972,2,-122.3295065,47.60137163,12547,26329,26329,1776194,Matched,Block,,PREFONTAINE PL S BETWEEN 3RD AVE S AND 4TH AVE S,,,2,Injury Collision,Rear Ended,2,0,0,2,2004/08/09 00:00:00+00,8/9/2004,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,4222019.0,,13,From same direction - both going straight - both moving - rear-end,0,0,N
